"trail_info_id","trail_system","trail_subsystem","trail_subsystem_id","trail_name","trail_color","trail_surface","trail_type","trail_difficulty","regional_trail_name","trail_desc","alt_name","cambr_name","on_street","crossing_type","length_mi","off_fpdcc","web_trail","length_ft","segment_type","direction","width","hiking","biking","cross_country","equestrian","dog_leash","no_dogs","geom"
14,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.140,no,yes,738.00,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.869043354497 42.02274216665531, -87.8690968747973 42.02283269673437, -87.86910785222992 42.02299422067444, -87.86910366573117 42.02356973090057, -87.8691343987394 42.02398711234661, -87.8691230154544 42.02455719780336, -87.86920635191358 42.02474817813193)"
15,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,road,0.013,no,yes,70.72,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.86920635191358 42.02474817813193, -87.86917630582774 42.024940948107925)"
16,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.019,no,yes,98.62,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.8554603440613 41.97298619947089, -87.85562936649245 41.973155498042146, -87.8556533454256 41.97321225175287)"
17,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.439,no,yes,2320.36,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.84916950605181 41.989179071848476, -87.84951401650613 41.98981965130228, -87.8497325471464 41.99040146486552, -87.84979816929547 41.990570353673625, -87.84990368329889 41.9907165238541, -87.85059017508246 41.991432764393664, -87.85148487245391 41.99215158447851, -87.85166863755629 41.99237360143056, -87.85200581959094 41.99254791146849, -87.85284834789744 41.992926734732386, -87.85321822459015 41.993097706840906, -87.85344293268356 41.993246518769965, -87.85368565568947 41.99349230507621, -87.85397707430809 41.993726962180354, -87.85416951481814 41.994094923398315)"
18,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.297,no,yes,1569.61,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.85615566470985 41.99674469231211, -87.85625522096188 41.997120536857864, -87.85614864396432 41.997711207721466, -87.85615692182591 41.99802103307464, -87.8562746559404 41.998447140531844, -87.85653199345643 41.99870003094147, -87.85665195044227 41.998914558569595, -87.85669797305295 41.99911176818729, -87.85669325924937 41.999258778405995, -87.85667922198236 41.99944351902648, -87.85664393023787 42.00005307393846, -87.85665770229015 42.00014620501719, -87.85675449697516 42.000261263154115, -87.85691275764727 42.000363522169756, -87.85708390452524 42.00046631369684, -87.85723005882322 42.000510084665734, -87.85746674132251 42.000539392898375, -87.85747364306827 42.000583935105354)"
19,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,road,0.005,no,yes,28.41,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.85747364306827 42.000583935105354, -87.8574828975217 42.00066160117667)"
20,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.730,no,yes,3853.73,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.8574828975217 42.00066160117667, -87.85750386847174 42.001149087338966, -87.85753732009748 42.00150852504814, -87.8576180492489 42.00183361198865, -87.8577355343256 42.00208499356001, -87.85784977691884 42.00220374156805, -87.85828169087897 42.00243432945097, -87.85858334896035 42.0027191840317, -87.85870366700246 42.00293340519123, -87.85877093666235 42.003007256502734, -87.85887673505405 42.00306118001464, -87.85951310162588 42.00323607466414, -87.85983863650839 42.003321183443155, -87.85999636124775 42.00342304345493, -87.86016597147146 42.00356533449865, -87.86022270219208 42.00371934249353, -87.86023447165267 42.00408359295702, -87.86021432852873 42.00436138252593, -87.86007052796813 42.00521868755985, -87.86015208636846 42.00641549425464, -87.86012545767038 42.00659208979794, -87.8600374089346 42.006758989834175, -87.85974075161488 42.007223930961466, -87.85954486551769 42.00757236519406, -87.85942462186095 42.00793404719758, -87.85940287553007 42.00818350301753, -87.85940786045954 42.00845280404601, -87.85950528024276 42.009018626880184, -87.85969716902177 42.00947156348847, -87.8599491515572 42.00979354119718, -87.8600853661197 42.00991675940461, -87.86015626928982 42.01001825690883)"
21,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.255,no,yes,1348.36,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.88660493941198 42.083468291847225, -87.88672867188757 42.083608628669374, -87.88678905639371 42.08370214870304, -87.88675859591865 42.083813410877354, -87.88666677082753 42.08400599460349, -87.88663280424564 42.08428034967293, -87.88653522935418 42.08441770355488, -87.88636956644275 42.08453484234305, -87.88631768159625 42.08466698482257, -87.88638667608558 42.084964944940396, -87.88638775021846 42.08513813277066, -87.8863849617112 42.08542152721583, -87.88625931546497 42.08613466762911, -87.88645290737956 42.086583174801405, -87.88659334519137 42.08669837616198, -87.88688171946893 42.08685658737423)"
22,des plaines,Des Plaines River Trail System,11,,orange,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.043,no,yes,228.05,,north,0.0,1,1,1,1,1,0,"LINESTRING (-87.88142323418552 42.10949485086543, -87.88143100248244 42.109548836330816, -87.88148510649006 42.109582771183824, -87.88178684078197 42.1096494518233, -87.88215527530114 42.1097246448806)"
23,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.625,no,yes,3298.28,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.87349235719076 42.05722075798308, -87.87371379015958 42.057230703308, -87.87382040822304 42.05730307997624, -87.8738632028041 42.05737718995926, -87.87384652818204 42.057463245749155, -87.87379622185344 42.05754028264851, -87.87370874816466 42.05780225493491, -87.87365971668008 42.05825074016987, -87.87364188629694 42.06101774772513, -87.87363785881675 42.0618270613511, -87.87361298489887 42.06201310754578, -87.87356689563131 42.062128926837836, -87.87326601886008 42.06243391749299, -87.87322195301003 42.06252006932985, -87.87320958283945 42.06272909654547, -87.87337069017272 42.063731962037494, -87.87337739529288 42.06380617744056, -87.87326526244233 42.06404313127901, -87.87318591337478 42.06431495016328, -87.87319484451531 42.064394232802684, -87.87332123252878 42.064690057241464, -87.87333982562278 42.065061161769144, -87.87337079269494 42.065285200302704, -87.8733644761138 42.0654079232493, -87.87349326414268 42.06554998177728, -87.87348733527337 42.06569168079748, -87.87341621630962 42.06588900701488)"
24,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,road,0.007,no,yes,36.04,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.87341621630962 42.06588900701488, -87.87336938666996 42.06598155496773)"
25,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.130,no,yes,687.61,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.83507296446362 41.92008026496476, -87.83508765879843 41.920004158008815, -87.83505271950646 41.919907121020195, -87.8348936719608 41.91975416440518, -87.8345209216838 41.91952365769745, -87.83409334214916 41.91911111979745, -87.8336412511994 41.91857598779759)"
27,des plaines,Des Plaines River Trail System,11,,orange,unknown,unpaved,,Des Plaines River Trail,,,,no,none,2.092,no,yes,11045.94,,north,0.0,1,1,1,1,1,0,"LINESTRING (-87.88747471642547 42.11670800631892, -87.88778694088458 42.1170925946977, -87.88809092649826 42.11732211163139, -87.88836244032711 42.117471779217944, -87.88878128861704 42.117567584935976, -87.88912777316756 42.11763367253275, -87.8895684541779 42.11757198075807, -87.8899590373041 42.11741971942746, -87.8900881058832 42.11741022021373, -87.89025773834346 42.11745324608828, -87.89079084597715 42.117777683315346, -87.89146736413785 42.118062204289615, -87.8921085256366 42.11848214674436, -87.8925205281413 42.11876834179527, -87.89318863262935 42.11936228290618, -87.8933399977544 42.119605088495454, -87.89354271492536 42.11980334757423, -87.89384436268055 42.120029892009576, -87.89401662558325 42.12014048453842, -87.89416050413264 42.12029480643254, -87.89424789278384 42.12049612242332, -87.89431506386792 42.120739175941786, -87.89431622386944 42.120833601238445, -87.8942975753755 42.12091041544235, -87.8941490517076 42.121166132242266, -87.89402867270186 42.121281674189945, -87.89383373021587 42.1214373965146, -87.89377869592357 42.121535653161, -87.89378359992034 42.121612557491794, -87.89384051010525 42.1217672210039, -87.89384318292673 42.121904815894716, -87.89380612411416 42.12213847122706, -87.89369161240549 42.122338571099526, -87.89351967846419 42.12257261541408, -87.89337563140381 42.12296593291874, -87.89317536814535 42.12316951851557, -87.89308993399341 42.123340159879625, -87.89300062350446 42.12354720575506, -87.89290086646825 42.123627417797785, -87.89280223469382 42.123675935658234, -87.89264092781129 42.123748155155695, -87.89250222204772 42.12382720560129, -87.89232900099739 42.123984357608, -87.89219129064122 42.12411568015736, -87.89186398632269 42.12441319572371, -87.89180892296692 42.12451482342895, -87.89178776196657 42.12462669808427, -87.89183377027257 42.125046373195744, -87.89188153025952 42.12521381662706, -87.89196922726454 42.12537062271378, -87.89221031925777 42.1256170438539, -87.89236007171576 42.12570934250989, -87.89248222249952 42.12575873822033, -87.89314094121475 42.12598346334813, -87.89328471871423 42.126153972223236, -87.89349094419568 42.126465002591765, -87.89362103453841 42.126719547601624, -87.8936186797965 42.1268593616287, -87.89353776933385 42.12703035776595, -87.89349177635336 42.12726151231554, -87.89346284272105 42.12751498855515, -87.89340273821793 42.12765647714229, -87.8932536830245 42.12775833160892, -87.89306119377268 42.12781829222746, -87.8926979656477 42.127806444202115, -87.89251872943984 42.127849593956874, -87.89231511009191 42.127946604423606, -87.89221475422208 42.12804670929811, -87.89214168181064 42.12824500169535, -87.8920850232037 42.12846301057517, -87.89207545775125 42.128535812638184, -87.8921700736526 42.12887137003532, -87.89231122900172 42.12915922143184, -87.89247977166956 42.129417502789046, -87.89255277395232 42.1296039269421, -87.89264265347076 42.129969815208405, -87.89277549274452 42.130091849022726, -87.89316914339912 42.13035086778483, -87.89331020286092 42.13039187483686, -87.89342973259299 42.13040177523105, -87.8941365799398 42.13038290114333, -87.89429223429076 42.13040979974749, -87.89443292680737 42.13050408426733, -87.89454752487936 42.13070348046132, -87.89466753519372 42.13103778392862, -87.89473120746429 42.13113312245945, -87.89487250592845 42.1312712469229, -87.89493778153413 42.13139694096851, -87.89499952124947 42.13157870218101, -87.89498635044403 42.13210595605564, -87.89501697789859 42.132890501191355, -87.89496499391797 42.133889076049456, -87.89491456449478 42.13463210867848, -87.89497533175383 42.134755087673604, -87.89502591443791 42.134778211635954, -87.89513718976578 42.13480632194062, -87.8953809607342 42.13479980036249, -87.89558869235347 42.13481426906244, -87.89580642208634 42.13485942477182, -87.89595574750123 42.13494222561609, -87.8966991521912 42.13562021376557, -87.89700677524904 42.135818992858475, -87.89743134274642 42.13614231112174, -87.89784369382474 42.13642989650141, -87.89824493856214 42.136687643202634, -87.89871263240127 42.13695893933144, -87.89938321608211 42.13719373193464, -87.89992961794145 42.13763705964441, -87.90045302778026 42.13817570058023, -87.9005939991368 42.138232884693224, -87.90108724694284 42.13832242018641, -87.90132968373806 42.138383357757746)"
28,des plaines,Des Plaines River Trail System,11,,orange,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.739,no,yes,3903.09,,north,0.0,1,1,1,1,1,0,"LINESTRING (-87.88215527530114 42.1097246448806, -87.88298193393881 42.10989215163006, -87.88349603058595 42.10989071878129, -87.88375030752348 42.10985065189371, -87.88416587439028 42.109747067316746, -87.88432536819735 42.109735551672514, -87.88462387788988 42.10979067420991, -87.88471198132956 42.10979902780531, -87.88488296384126 42.109784942674715, -87.88515504350532 42.109734748534905, -87.88532545333828 42.10971652977559, -87.88559333042983 42.109748599369766, -87.88570713901919 42.1097935561533, -87.88586519071896 42.10998706125751, -87.88606347965516 42.110061685050184, -87.88679378756899 42.11028169767721, -87.88691600228327 42.110419758118866, -87.88695186660622 42.11073013812181, -87.88701649338178 42.1108140195468, -87.88711221838558 42.11085485797845, -87.88731080125017 42.1109527487859, -87.88737107254549 42.11101199617287, -87.88740317833417 42.11108361113779, -87.88745991637043 42.11132393074755, -87.88760953953332 42.11155820401635, -87.8876974530983 42.11167994389885, -87.88770693080156 42.11176799666873, -87.88764981712207 42.11201495342805, -87.88765051832881 42.11217344853171, -87.88763769920583 42.11232244901841, -87.88760064639547 42.112439656893955, -87.88739759007925 42.11272078203521, -87.88718346401015 42.11303019005521, -87.88713610826392 42.113066425441644, -87.88698718250465 42.11311980109046, -87.88681903325667 42.11333091965415, -87.8868076999828 42.113396970232166, -87.88680318687823 42.11352374654248, -87.88665750405885 42.11363108921542, -87.886615411774 42.11369162454807, -87.88665650012258 42.113774065625456, -87.88676794641816 42.11389859551927, -87.88678523367746 42.114016688996, -87.88675818855127 42.114425857769916, -87.88674898905838 42.11453451432606, -87.88679136894018 42.114691148258935, -87.88690646751667 42.1150699543283, -87.88710875334331 42.11548113501745, -87.88714108687908 42.115585123779375, -87.88718676054128 42.115788980812646, -87.88725810006738 42.11594977374608, -87.88726286337841 42.11604556206149, -87.88731580323308 42.116246749533666, -87.88740144763737 42.11643457537377, -87.88745269950863 42.116618220896655, -87.88747471642547 42.11670800631892)"
29,palos,Palos Trail System,22,,blue,gravel,unpaved,intermediate,,,,Bullfrog Lake,no,none,0.047,no,yes,246.02,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.90451432682337 41.71075105111238, -87.90461412542345 41.710884377044245, -87.90467199160524 41.71101692488649, -87.90470777796506 41.71124773300484, -87.90469693887798 41.711397982680275)"
30,des plaines,Des Plaines River Trail System,11,,yellow,unknown,paved,,Des Plaines River Trail,,City Of Des Plaines Trail,,no,road,0.010,no,yes,50.29,,,0.0,1,1,1,0,1,0,"LINESTRING (-87.88115198824623 42.03766659407091, -87.88132761403793 42.03762292238682)"
31,des plaines,Des Plaines River Trail System,11,,orange,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.436,no,yes,2302.77,,north,0.0,1,1,1,1,1,0,"LINESTRING (-87.90301725397738 42.13987850928914, -87.90318441651083 42.140113782219444, -87.90332126427943 42.1404832661537, -87.90329461380249 42.14067200736001, -87.90323460192634 42.14084869825715, -87.90323635953041 42.14135528478735, -87.90312372528167 42.14157065698775, -87.90312773820541 42.141696290187724, -87.90319284956345 42.141783090472885, -87.90372854409729 42.14216682618607, -87.90413021937442 42.14226814543819, -87.90444016582634 42.14253368190187, -87.90460192552705 42.142735267261955, -87.90469869434652 42.14289884140882, -87.9048065659652 42.14325178344625, -87.90494194128796 42.14391814241791, -87.90517587522753 42.14470675224627, -87.90530101188233 42.14496485216521, -87.9054523647892 42.14536737814051, -87.90546031910682 42.14553196919052)"
32,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,none,0.147,no,yes,776.21,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.83291583038569 41.913523071537156, -87.83297318814863 41.9131385342557, -87.83313698111765 41.91281521112378, -87.83326882387489 41.91233601156319, -87.83325205003781 41.91198098082773, -87.83318883665366 41.91184840404604, -87.83306507296254 41.91163682097259, -87.83310221000119 41.91145759312356)"
33,indian boundary,Des Plaines River Trail System,11,,yellow,unknown,unpaved,,Des Plaines River Trail,,,,no,bridge,0.038,no,yes,198.80,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.83310221000119 41.91145759312356, -87.8337150258078 41.91116081344698)"
