poi_desc_id,poi_info_id,hours1,hours2,phone,description,web_link,map_link,map_link_spanish,vol_link,vol_link2,picnic_link,event_link,custom_link,season1,season2,special_hours,special_description,special_link,photo_link,fish_map,accessibility_description
11,76,Sunrise to Sunset,,,"Formerly an agricultural field divided by hedgerows, 585-acre Bartel Grassland is a flat, wet landscape that is now home to an increasing variety of native plant and bird species. An observation area with a mound allows visitors to see how restoration efforts have encouraged natural processes.",https://fpdcc.com/places/locations/bartel-grassland/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={E0718B3F-BB46-4B53-9957-8A0AC6B2FEB9},,,,,Year-round,,,,,,,
12,147,Sunrise to Sunset,,,"Beaubien Woods, located on the south side of Chicago, is home to a mix of prairie, woodland and wetland habitats, with Flatfoot Lake as the centerpiece. With the lake, a boat launch, open grassy areas and picnic groves, visitors can enjoy numerous activities including fishing, kayaking, birding and more.",https://fpdcc.com/places/locations/beaubien-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={416CBA7B-6B68-4918-A657-0EC7939B93ED},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Beaubien-Woods-110421.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Flatfoot-Lake-032417.pdf,"Beaubien Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom. It also has an accessible fishing area with accessible parking, a paved surface pathway to the shoreline, a hard surface along the shoreline, and railings along portions, or all, of the hard-surfaced shoreline. "
13,146,Sunrise to Sunset,,,"Beaubien Woods, located on the south side of Chicago, is home to a mix of prairie, woodland and wetland habitats, with Flatfoot Lake as the centerpiece. With the lake, a boat launch, open grassy areas and picnic groves, visitors can enjoy numerous activities including fishing, kayaking, birding and more.",https://fpdcc.com/places/locations/beaubien-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={416CBA7B-6B68-4918-A657-0EC7939B93ED},,,,,Year-round,,,,,,,
14,343,Sunrise to Sunset,,,"Features a trailered boat launch for canoes, kayaks, rowboats, sailboats and boats with electric trolling motors. An off-leash dog area provides open space for dogs to play.",https://fpdcc.com/places/locations/beck-lake/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Beck-Lake-032417.pdf,
15,346,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/belleau-lake/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Belleau-Lake-032417.pdf,
16,300,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/belly-deep-slough/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Belly-Deep-Slough-032417.pdf,
17,390,Sunrise to Sunset,,,"Bemis Woods offers a wide range of activities such as birding, hiking and biking, and plenty of open space and groves for picnics. Amenities at this 480-acre site include paved and unpaved trails, a canoe launch and the exhilarating Go Ape Zipline & Adventure Park.",https://fpdcc.com/places/locations/bemis-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={1B6C695C-0653-4979-87B6-3A5F1B9FD645},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={962302E9-6A46-4AC4-AD85-D4DBE9CB8049},https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Bemis-Woods-102422.pdf,,,Year-round,,,,,,,
18,250,Sunrise to Sunset,Contact Go Ape at 800-971-8271,,"Bemis Woods offers a wide range of activities such as birding, hiking and biking, and plenty of open space and groves for picnics. Amenities at this 480-acre site include paved and unpaved trails, a canoe launch and the exhilarating Go Ape Zipline & Adventure Park.",https://fpdcc.com/places/locations/bemis-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={1B6C695C-0653-4979-87B6-3A5F1B9FD645},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={962302E9-6A46-4AC4-AD85-D4DBE9CB8049},https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Bemis-Woods-102422.pdf,,,Year-round,Zipline & Adventure Park Hours,,,,,,"Bemis Woods-South has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
19,83,,,,,,,,,,,,,,,,,,,,
20,202,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/spring-lake/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Northwest-Zone-Map-10-15.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Northwest-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/1405/OppDetails/181828/Spring-Creek-Headwaters-Stewardship-Volunteer-Days/,https://ec.samaritan.com/recruiter/1405/OppDetails/193630/Spring-Creek-Stewardship-Volunteer-Days/,,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Beverly-Lake-032417.pdf,
21,286,,,800-460-0010,"This 9-hole course is 3,029 yards of pure golfing fun.",http://billycaldwell.forestpreservegolf.com/,,,,,,,,,,,,,,,
22,332,Sunrise to Sunset,,,"Black Partridge Woods, an 80 acre Illinois Nature Preserve, features a spring-fed stream that carved a ravine into a broad, sloping bluff overlooking the Des Plaines River.",https://fpdcc.com/places/locations/black-partridge-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Southwest-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Southwest-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={3B7C195A-0D8F-497B-9B42-6B1E169F3435},,,,,Year-round,,,,,,,
23,96,Sunrise to Sunset,,,"Black Partridge Woods’ 80 acres feature bluffs overlooking the Des Plaines River, ravine forests and spring-fed streams. The site is a protected Illinois Nature Preserve.",https://fpdcc.com/places/locations/black-partridge-woods/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Southwest-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Southwest-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={3B7C195A-0D8F-497B-9B42-6B1E169F3435},,,,,Year-round,,,,,,,
24,211,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/blandings-grove-family-picnic-area/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
25,213,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/blue-beech-family-picnic-area/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Des-Plaines-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Des-Plaines-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
26,269,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/blue-star-memorial-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-North-Branch-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-North-Branch-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={7B0B80A5-ECBF-4E59-87D3-CB91AECB8F1F},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Blue-Star-Memorial-Woods-110421.pdf,,,Year-round,,,,,,,"Blue Star Memorial Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
27,388,,,,,,,,,,,,,,,,,,,,
28,109,7am - 7:30pm,7am - 4pm,,"A lush valley of emerald green, Bluff Spring Fen is a rare gem, a mix of prairie, woodlands, ponds, streams and wetlands—including the rare ecosystem that gives the site its name. Thanks to active restoration, this Illinois Nature Preserve is home to a rich diversity of plants, amphibians, insects and birds.",https://fpdcc.com/places/locations/bluff-spring-fen/,https://fpdcc.com/downloads/maps/zones/english/FPCC-Northwest-Zone-Map-10-15.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Northwest-Zone-Map-SPANISH-10-15.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={96D73926-8AFD-47FB-9D00-B5D5F98BA7CA},,,,,Apr - Oct,Nov - Mar,Hours set by Bluff City Cemetery/City of Elgin,,,,,
29,307,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/bobolink-meadow/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
30,35,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/arthur-l-janura-preserve/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Poplar-Creek-Trail-2018-010919.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Northwest-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
31,196,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/arthur-l-janura-preserve/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Poplar-Creek-Trail-2018-010919.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-Northwest-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Bode-Lake-North-032417.pdf,
32,138,Sunrise to Sunset,,,"Connecting to the southern portion of the paved Tinley Creek Trail System, Bremen Grove offers an off-leash dog area, bike rental and a picnic grove.",https://fpdcc.com/places/locations/bremen-grove/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Bremen-Grove-120821.pdf,,,Year-round,,,,,,,"Bremen Grove has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible indoor bathroom."
33,247,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/brezina-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Brezina-Woods-110421.pdf,,,Year-round,,,,,,,"Brezina Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
34,243,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/brookfield-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Salt-Creek-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Salt-Creek-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={D6273AD1-CF86-4AF0-A1CD-12D8FEFD10D1},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Brookfield-Woods-110421.pdf,,,Year-round,,,,,,,"Brookfield Woods has an accessible picnic shelter (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable bathroom."
35,158,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/brownell-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Thorn-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Brownell-Woods-110421.pdf,,,Year-round,,,,,,,
36,293,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/buffalo-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Buffalo-Woods-110421.pdf,,,Year-round,,,,,,,
37,291,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/buffalo-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
38,292,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/buffalo-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Buffalo-Woods-110421.pdf,,,Year-round,,,,,,,
39,294,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/buffalo-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Palos-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Palos-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Buffalo-Woods-110421.pdf,,,Year-round,,,,,,,
40,282,Sunrise to Sunset,,,"Known for its popular picnic groves, Bunker Hill contains remarkable natural areas, including a floodplain forest, open savanna and the Sidney Yates Flatwoods. The site is part of the extensive North Branch Trail System and offers easy parking and natural play areas for kids.",https://fpdcc.com/places/locations/bunker-hill/,https://fpdcc.com/downloads/maps/trails/english/FPCC-North-Branch-Trail-Map-022020.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-North-Branch-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={1C986467-CC89-4485-943C-6FF4DF4F693B},https://ec.volunteernow.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={7FE9A1CF-FC7C-40A3-B232-2D6CDBE7E6E5},https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Bunker-Hill-120821.pdf,,,Year-round,,,,,,,"Bunker Hill has two accessible picnic shelters (May 1 to October 31) with accessible parking, an accessible curb cut and path from parking to picnic shelter, and accessible path from picnic shelter to an accessible portable or indoor bathroom."
41,386,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/burnham-prairie/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
42,91,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/burnham-prairie/,https://fpdcc.com/downloads/maps/zones/english/FPCC-South-Zone-Map-022020.pdf,https://fpdcc.com/downloads/maps/zones/spanish/FPCC-South-Zone-Map-SPANISH-10-15.pdf,,,,,,Year-round,,,,,,,
43,148,,,800-460-0010,"Located in southeastern Cook County this course's small greens, mature trees, and meandering streams makes for an excellent golfing experience.",http://burnhamwoods.forestpreservegolf.com/,,,,,,,,,,,,,,,
44,177,Sunrise to Sunset,,,,https://fpdcc.com/places/locations/bur-oak-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Tinley-Creek-Trail-Map-10-15.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Tinley-Creek-Trail-Map-SPANISH-10-15.pdf,,,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Bur-Oak-Woods-110421.pdf,,,Year-round,,,,,,,
45,191,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-North-111522.pdf,,,Year-round,,,,,,,
46,185,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-North-111522.pdf,,,Year-round,,,,,,,
47,186,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,https://fpdcc.com/downloads/maps/grove/FPCC-Picnic-Map-Busse-Woods-South-111522.pdf,,,Year-round,,,,,,https://fpdcc.com/downloads/maps/fishing/FPCC-Fishing-Map-Busse-Reservoir-032417.pdf,"Busse Forest Main Dam has an accessible fishing area with accessible parking, a paved surface pathway to the shoreline, a hard surface along the shoreline, and railings along portions, or all, of the hard-surfaced shoreline."
48,30,Sunrise to Sunset,,,"The 3,558-acre Ned Brown Preserve—popularly known as Busse Woods—is one of the largest and most diverse locations in the Forest Preserves. The site includes ancient upland forests, one of the largest fishing and boating waters in Cook County, nearly 13 miles of paved trail, an elk pasture and much more—making it one of the best-used natural areas in Illinois.",https://fpdcc.com/places/locations/busse-woods/,https://fpdcc.com/downloads/maps/trails/english/FPCC-Busse-Trail-Map-9-16.pdf,https://fpdcc.com/downloads/maps/trails/spanish/FPCC-Busse-Trail-Map-SPANISH-9-16.pdf,https://ec.samaritan.com/recruiter/index.php?recruiterID=1405&class=OppDetails&oppGuid={186D8D05-29ED-42D0-BAD9-B3BEB16137F7},,,,,Year-round,,,,,,,
